icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
80078e,CB-8001,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,IN1,,L4J,Indian Air Force,INDIAN AIRFORCE,IFC,,Indian Air Force,,,,,,,,,False,False,False,,
06a0d6,A7-MHH,AIRBUS,Airbus,ACJ319 115X,A319,3994,,L2J,Qatar Executive,,QQE,,Qatar Executive,D-AVYR,2011-05-28,,,2009-01-01,,,,False,False,False,,Large (75000 to 300000 lbs)
800737,VT-ANQ,BOEING,Boeing,787 8,B788,36288,,L2J,,AIRINDIA,AIC,,Air India,,,,,,,,,False,False,False,,
aa7427,N77296,BOEING,Boeing,737-824,B738,34002,,L2J,,UNITED,UAL,,United Airlines Inc,,,2027-08-31,,2005-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
78031c,B-5325,BOEING,Boeing,737NG 86N,B738,32692,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
728618,YI-APX,AIRBUS,Airbus,A300 B4-203,A30B,239,,L2J,,,,,Government Of Iraq,,,,,,,,,False,False,False,,
4783cf,LN-RNO,BOEING,Boeing,737NG 783,B737,28316,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,False,False,False,,
ae4d66,10-0213,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,P213,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,Reserved
38ed18,F-WTTN,AIRBUS,Airbus,A330 941N,A339,1795,,L2J,,,,,Airbus Industries,,,,,,,,,False,False,False,,
a758f7,N57250,STEARMAN,Boeing,A75N1(PT17),ST75,75-2728,,L1P,,,,,Meister Mike,,,2028-04-30,,1941-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
00a51c,ZS-OAT,BOEING,Boeing,737 476,B734,28150,,L2J,,COMMERCIAL,CAW,,British Airways,,,,,,,,,False,False,False,,
4951d9,CS-TNY,AIRBUS,Airbus,A320 214,A320,4742,,L2J,Tap Portugal,AIR PORTUGAL,TAP,TP,Tap Portugal,,,,,2011-01-01,,,CFMI CFM56-5B4,False,False,False,,No ADS-B Emitter Category Information
861ed6,JA614A,BOEING,Boeing,767 381ER,B763,33508,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,False,False,False,,
880444,HS-ABD,AIRBUS,Airbus,A320 216,A320,3394,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,False,False,False,,
3944e1,F-GRHB,AIRBUS,Airbus,A319 111,A319,985,AF1085,L2J,Air France,AIRFRANS,AFR,AF,Air France,,,,,1999-03-18,1999-03-05,,2 x CFMI CFM56-5B5/3,False,False,False,,No ADS-B Emitter Category Information
71004b,HZ-AQB,AIRBUS,Airbus,A330 343E,A333,1127,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,False,False,False,,
4ba869,TC-JCI,AIRBUS,Airbus,A330 243F,A332,1442,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
aabe77,N79124,STEARMAN,Boeing,A75L300,ST75,75-6444,,L1P,,,,,Bruzzi Michael D,,,2030-04-30,,1942-01-01,,,P&W R-985 SERIES,False,False,False,,
78085c,B-6859,AIRBUS,Airbus,A320 214,A320,5072,,L2J,Capital Airlines,CAPITAL DELTA,CPD,,Capital Airlines,,,,,,,,,False,False,False,,
4aca13,SE-RPS,BOEING,Boeing,737-8JP (W),B738,41143,5737,L2J,Norwegian Air Shuttle A.s. T/a Norwegian - Norway,NOR SHUTTLE,NAX,,Norwegian Air Sweden,,,,,,,,CFMI CFM56-7B26,False,False,False,,
8880a1,VN-A393,AIRBUS,Airbus,A321 231,A321,5340,,L2J,,VIET NAM AIRLINES,HVN,,Vietnam Airlines,,,,,,,,,False,False,False,,
7c6dde,VH-VZK,BOEING,Boeing,737-838,B738,,,L2J,Qantas,QANTAS,QFA,QF,Qantas Airways,,,,,,,,JET,False,False,False,,
8a0261,PK-LHO,BOEING,Boeing,737NG 9GPER/W,B739,37278,,L2J,,LION INTER,LNI,,Lion Air,,,,,,,,,False,False,False,,
a522f9,N43YP,STEARMAN,Boeing,E75,ST75,75-6018,,L1P,,,,,Vintage Aeroplane Collection #2 Inc,,,2029-04-30,,1942-01-01,,,P&W R1340 SERIES,False,False,False,,
780e97,B-6809,BOEING,Boeing,737NG 86N/W,B738,43409,,L2J,Lucky Air,LUCKY AIR,LKE,,Lucky Air,,,,,,,,,False,False,False,,
4a0927,YR-BAG,BOEING,Boeing,Boeing 737 5L9,B735,24778,,L2J,Blue Air,BLUE TRANSPORT,JOR,0B,Blue Air,,,,,,,,,False,False,False,,
a96e9e,N707AQ,,Boeing,737-484,,25361,,,,,,,Frontera Flight Holdings Inc,,,2029-12-31,,,,,,False,False,False,,
c04fff,C-GEHQ,BOEING,Boeing,737-8 MAX,B38M,61226 / 7380,,L2J,Air Canada,AIR CANADA,ACA,AC,,,,,,,,,,False,False,False,,
aa77ec,N774AJ,BOEING,Boeing,777-3FXER,B77W,34599,,L2J,,,,,Bank Of Utah Trustee,,,2029-11-30,,,,,,False,False,False,,
a0a332,N140FE,BOEING,Boeing,767-300F,B763,43541,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2029-09-30,,2016-01-01,,,GE CF6-80C2B6F,False,False,False,,
800448,VT-AXW,BOEING,Boeing,737NG 8HG/W,B738,36334,,L2J,,EXPRESS INDIA,AXB,,Air India Express,,,,,,,,,False,False,False,,
aceff0,N9323Z,BOEING,Boeing,B-17G,B17,44-83514,,L4P,,,,,American Airpower Heritage Fly Museu,,,2028-04-30,,1944-01-01,,,WRIGHT R-1820 SER,False,False,False,,
42425a,VP-BYC,BOEING,Boeing,757 231,B752,30338,,L2J,,,,,Azur Air,,,,,,,,,False,False,False,,
344211,EC-LQP,AIRBUS,Airbus,A330 243,A332,526,,L2J,,EUROPA,AEA,,Air Europa,,,,,,,,,False,False,False,,
7800ea,B-6199,AIRBUS,Airbus,A319 112,A319,2644,,L2J,Capital Airlines,CAPITAL DELTA,CPD,,Capital Airlines,,,,,,,,,False,False,False,,
01001d,SU-GCL,AIRBUS,Airbus,A320-232,A320,322,,L2J,Egyptair,EGYPTAIR,MSR,MS,,F-WWBL,2016-01-04,2017-01-01,,1992-01-01,,,,False,False,False,,
7580ef,RP-C7775,BOEING,Boeing,777 3F6ER,B77W,35555,,L2J,,PHILIPPINE,PAL,,Philippine Airlines,,,,,,,,,False,False,False,,
7c6bb9,VH-VKB,BOEING,Boeing,787 8,B788,36228,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,False,False,False,,
e492cf,PR-OBH,AIRBUS,Airbus,A320 251NSL,A20N,7484,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,False,False,False,,
7cf8f3,A30-004,BOEING,Boeing,E-7A Wedgetail,E737,33477,1885,L2J,Royal Australian Air Force,AUSSIE,ASY,,Royal Australian Air Force,,,,,,,,2 x CFM International CFM56-7B27A,False,False,False,,Reserved
89406e,A9C-AM,AIRBUS,Airbus,Airbus A320 214,A320,4827,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,False,False,False,,
a2b133,N27266,BOEING,Boeing,737-8,B38M,66597,,L2J,,,,,Wilmington Trust Co Trustee,,,2028-12-31,,2021-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
780ff3,B-7976,BOEING,Boeing,737NG 85N/W,B738,61428,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,False,False,False,,
424371,VP-BYX,BOEING,Boeing,737NG 8Q8/W,B738,41808,,L2J,Nordwind Airlines,NORDLAND,NWS,,Nordwind Airlines,,,,,,,,,False,False,False,,
a0a957,N1414M,STEARMAN,Boeing,E75,ST75,75-5230,,L1P,,,,,Allen Willis M,,,2029-05-31,,,,,LYCOMING R680-4P-B4,False,False,False,,
48435b,P4-KCU,BOEING,Boeing,757 23N/W,B752,27971,,L2J,,ASTANALINE,KZR,,Air Astana,,,,,,,,,False,False,False,,
a8de7d,N6703D,BOEING,Boeing,757-232,B752,30234,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-06-30,,2000-01-01,,,P & W PW2037,False,False,False,,
040002,ET-AJX,BOEING,Boeing,757 260F,B752,25014,,L2J,,ETHIOPIAN,ETH,,Ethiopian Airlines,,,,,,,,,False,False,False,,
4d2347,9H-VUH,BOEING,Boeing,737 MAX 8,B38M,,,L2J,Ryanair,RYANAIR,RYR,FR,,,,,,,,,,False,False,False,,
abd69d,N862DN,BOEING,Boeing,737-932ER,B739,31972,,L2J,Delta Air Lines,DELTA,DAL,DL,Wells Fargo Trust Co Na Trustee,,,2029-07-31,,2016-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
7c6b12,VH-VFO,AIRBUS,Airbus,A320 232SL,A320,5631,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,False,False,False,,
aa3b0c,N75868,STEARMAN,Boeing,A75N1(PT17),ST75,75-5454,,L1P,,,,,Mitchell Thomas F Sr,,,2028-06-30,,,,,P&W R-985 SERIES,False,False,False,,
781174,B-1433,BOEING,Boeing,737NG 8EH/W,B738,40738,,L2J,,,FZA,,Fuzhou Airlines,,,,,,,,,False,False,False,,
42491e,VQ-BCM,AIRBUS,Airbus,Airbus A320 214,A320,3923,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
a06bd3,N126UW,AIRBUS,Airbus,A320-214,A320,4149,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2028-12-31,,2009-01-01,,,CFM INTL CFM56-5B4,False,False,False,,
8007b6,VT-GOL,AIRBUS,Airbus,A320 214SL,A320,5463,,L2J,,GOAIR,GOW,,Go Air,,,,,,,,,False,False,False,,
780bed,B-1937,BOEING,Boeing,737NG 87L/W,B738,37619,,L2J,,SHENZHEN AIR,CSZ,,Shenzhen Airlines,,,,,,,,,False,False,False,,
abfac6,N871HK,,Boeing,737-8,,67775,,,Southwest Airlines,SOUTHWEST,SWA,WN,Southwest Airlines Co,,,2029-11-30,,2022-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
8514f8,JA323J,BOEING,Boeing,737NG 846/W,B738,35352,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
e021c9,LV-BGI,AIRBUS,Airbus,A320 233,A320,1903,,L2J,,LAN AR,DSM,,Latam Argentina,,,,,,,,,False,False,False,,
