Date, Distance min (km), Distance max (km), Sièges, Trainées, Facteur, Unité;
2018, 0, 500, 50, SANS, 40.3, kgCO2e/km;
2018, 0, 500, 50, AVEC, 26.35, kgCO2e/km;
2018, 0, 500, 100, SANS, 24.1, kgCO2e/km;
2018, 0, 500, 100, AVEC, 44.1, kgCO2e/km;
2018, 0, 500, 220, SANS, 36.74, kgCO2e/km;
2018, 0, 500, 220, AVEC, 67.1, kgCO2e/km;
2018, 500, 1000, 50, SANS, 11.2, kgCO2e/km;
2018, 500, 1000, 50, AVEC, 20.45, kgCO2e/km;
2018, 500, 1000, 100, SANS, 18.4, kgCO2e/km;
2018, 500, 1000, 100, AVEC, 33.6, kgCO2e/km;
2018, 500, 1000, 220, SANS, 27.72, kgCO2e/km;
2018, 500, 1000, 220, AVEC, 50.6, kgCO2e/km;
2018, 1000, 3500, 50, SANS, 14.2, kgCO2e/km;
2018, 1000, 3500, 50, AVEC, 25.95, kgCO2e/km;
2018, 1000, 3500, 100, SANS, 14.5, kgCO2e/km;
2018, 1000, 3500, 100, AVEC, 26.5, kgCO2e/km;
2018, 1000, 3500, 220, SANS, 22.44, kgCO2e/km;
2018, 1000, 3500, 220, AVEC, 40.92, kgCO2e/km;
2018, 3500, 100000, 220, SANS, 25.3, kgCO2e/km;
2018, 3500, 100000, 220, AVEC, 46.2, kgCO2e/km;
