icao,totaldist,totaltime
008239,4726.059034756126,781
009130,8307.317193560095,5742
00af30,18975.70657528028,7100
020140,27503.51907321901,14674
0aca7d,30350.5373380006,15646
151e1b,202188.24941832368,26736
152007,982547.7530831408,27772
300564,983659.9769814636,31935
3424d1,985741.9791428456,34213
343694,987914.6155597364,35913
3442cc,990263.2466503934,40248
3444d1,992000.1821702098,41524
344648,996336.7084297868,44649
344696,998156.2207270795,48649
345543,1000129.9324588176,52110
345642,1002667.8144497698,57491
346155,1072843.9544476352,61045
346317,1077219.973757465,63380
346612,1080048.3344133925,66844
39d30c,1082234.6685598576,73509
3c4dc9,1085213.668392016,77623
3c6450,1098347.8796359394,80927
3c66a2,1101861.789139612,87370
3e0a45,1118334.427331474,87967
4006ee,1118918.1961213215,95817
4011af,1167932.4887001193,100951
401add,1200713.4602079927,101248
406727,1207052.338421052,106626
406cd2,1209152.769329223,118924
407eb5,1217182.3124046414,157377
40803e,1218396.6982576551,168882
43c92a,1221487.6982576551,168900
440713,1231095.392726153,173149
440cbf,1234645.9314176757,181962
452057,1242216.4358922795,183261
45ac52,1246771.4797998616,185065
45cab9,1248666.191651305,197461
461e14,1261007.5862240426,204180
461f4a,1268597.4468947004,244670
468e45,1277604.4322394202,245822
4690e3,1284062.547289495,246734
46ada1,1294727.39431137,252743
46b825,1301094.9662976142,253771
46bc49,1312606.9845394343,256032
46cd38,1322605.2488888102,257826
46d0a3,1325172.615243657,263858
46d2ef,1331303.373842721,268038
471daf,1343446.6743825253,279048
471fac,1348170.228341146,285341
478092,1348367.9984096598,287014
478097,1349262.0414734995,287730
478ce7,1350167.0370535993,290814
47921c,1354951.419145364,297016
485206,1365018.4475053125,299278
489789,1371381.5791242558,302116
48ad85,1379880.406631624,307519
48c22c,1381111.4752730897,310890
48c2a6,1389999.6879730648,314930
4a3896,1391687.424919393,316386
4ac9e7,1393252.2590959112,321725
4ac9ea,1394254.219673978,326638
4ac9ef,1397987.4361156004,331594
4b1801,1398324.1927042515,339386
4b1a66,1399107.2699673616,342554
4b1f2f,1399677.5234197844,347344
4ba8c4,1402768.0460293118,349521
4baa41,1409349.187343704,351039
4bb203,1414503.6479362394,358193
4bb86f,1417998.6336300585,366741
4ca226,1422473.395076214,371770
4ca246,1428401.5027844124,379106
4ca61d,1433863.7687061704,386367
4ca7b6,1435394.735720838,392886
4ca854,1448210.8462462665,402738
4ca8f0,1452845.2275426209,406394
4ca973,1453530.9869756585,410051
4cac23,1455683.7482257742,419900
4cad12,1459448.9835437855,423273
4cc4d2,1465177.409942021,424413
4d221e,1465485.776606886,428978
4d2243,1466844.3501234837,434165
4d2248,1468406.5652175087,437337
4d226f,1470055.6646687244,440827
4d228a,1470334.843822674,442253
4d22bd,1471210.4493274533,445532
4d2387,1473242.23770226,449231
4d23eb,1475327.9112145817,454593
501d1d,1478209.3513059248,459125
504e77,1485839.7482156537,467700
5082e6,1492412.034956203,473580
7020b1,1506356.298328644,475575
71152f,1797559.1687695105,476429
71bf07,1800682.1766145215,479091
71bf23,1801723.9001863005,481232
71bf86,1806379.6203239376,482059
71c031,1807274.2291770128,484763
71c071,1808283.372377951,486993
71c296,1809326.894299139,489114
71c531,1810325.2073762848,491407
71c564,1810940.093544612,493388
71c587,1811869.6794739375,495463
738488,1815929.7568131024,496760
7502bc,1822961.836519704,499466
7583e8,1825163.1645279755,501051
7583f8,1838562.4729429649,503184
758596,1842170.907506595,505143
7587b5,1844376.4561911628,507312
76d102,1846934.763444016,512615
78021a,1856170.7795223903,565843
780730,1859776.7901990248,592370
7c01c2,1861825.995410808,594425
7c4414,1868456.623209139,596307
800d08,1871354.105219437,600106
800d58,1872787.3574652057,606228
800d87,1883401.5504161555,614690
801414,1893530.317221646,621755
801421,1906911.906551767,629387
801461,1918848.547620342,631738
801546,1920398.5256847031,652860
801602,1922442.5266631765,673835
80163c,1935839.051585708,683114
80164c,1939657.755685268,684147
8016b6,1943640.9667015213,685066
8016d3,1945704.9688817528,689928
841b6a,1948670.671833837,694064
850e58,1952175.0879050249,699232
851cec,1955155.5848434565,703365
86351c,1958053.1315643913,708566
880454,1959277.82172929,713322
880844,1961092.9759927068,715527
88085a,1961333.3298984375,717862
88105a,1963082.9950092516,720148
8832a8,1964173.6581103052,722263
8840fa,1978224.0504535816,724527
884202,1979419.6331567017,726319
885302,1980728.1200691315,727617
88596d,1981885.9512312617,730263
895052,1984732.6884864364,736217
89906e,1989223.6574242047,737287
8990bd,1993930.0004843737,741563
89914f,1998423.194114744,742940
8a064e,2007250.795657632,745937
a12c76,2009499.4863878123,748018
a2182e,2011077.2585513392,749790
a2b320,2017373.7328822643,750592
a2f33a,2019342.997973612,753306
a32f17,2047535.619650214,753716
a3619c,2049933.2226198488,757530
a3685d,2052333.0667814557,758202
a4207f,2054416.7867722416,758927
a4bc51,2058269.5180112456,759964
a50315,2066016.4940019145,762379
a5279e,2069436.3783566845,767004
a52fb2,2070844.9535232976,771539
a5b923,2076142.2226310552,777710
a8ebe7,2084124.0685954925,779507
aa02ab,2086839.275033316,781863
aa9c34,2087389.8756145,783403
ac3c4e,2090658.3630322511,786645
c058d4,2093554.3003589213,789710
e48053,2112177.335396208,791912
e480f9,2114055.7669227747,792845
e4905c,2116382.886386833,795243
e4a02b,2117506.3422159604,797411
e80241,2120306.884484879,851168
e80277,2122334.258402044,852046
e80329,2124376.7776797987,855329
e80435,2132222.4716580263,856294
e80617,2135861.5161754787,857283
